open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1581314400000,9849.94,10034.56,9771.31,9827.36,72700.264,1581335999999,720402121.66647,135956,36043.864,357187425.70149,0
1581336000000,9826.75,9931.89,9782.10,9853.84,36792.375,1581357599999,362831588.51027,70574,18760.059,185021841.65706,0
1581357600000,9854.80,9908.00,9808.35,9865.56,21535.779,1581379199999,212325671.62329,41111,11177.289,110210607.55551,0
1581379200000,9865.56,9874.77,9729.36,9763.75,38668.547,1581400799999,378298881.48105,65115,17582.291,172013435.80767,0
1581400800000,9763.60,9823.00,9738.12,9812.27,24490.842,1581422399999,239636099.05575,45397,12874.394,125978284.26181,0
1581422400000,9810.58,10409.96,9799.88,10297.86,95615.803,1581443999999,966707496.38861,203147,51918.024,524833755.86236,0
1581444000000,10297.86,10345.00,10201.75,10229.06,31344.623,1581465599999,321540728.03036,68177,15897.407,163107088.95140,0
1581465600000,10230.74,10347.51,10229.71,10335.60,34957.626,1581487199999,359923439.97370,66473,18282.097,188245690.55636,0
1581487200000,10334.61,10479.98,10235.52,10363.00,56085.596,1581508799999,579724569.22724,122123,28183.289,291397741.96774,0
1581508800000,10361.77,10437.00,10259.64,10371.92,43453.474,1581530399999,449781373.18795,93511,21545.775,223060293.81378,0
1581530400000,10371.92,10432.00,10317.26,10339.99,25177.562,1581551999999,261071465.84975,54508,12727.763,132010573.39803,0
1581552000000,10339.64,10456.91,10327.18,10447.98,27379.680,1581573599999,284997287.86732,48966,13924.168,144952125.24629,0
1581573600000,10447.98,10512.55,10101.00,10165.03,79007.539,1581595199999,811068819.06708,164543,35881.570,368464330.00687,0
1581595200000,10165.04,10540.00,10121.06,10210.08,85538.922,1581616799999,879689531.63652,197573,41845.227,430645954.14578,0
1581616800000,10210.09,10284.80,10199.04,10239.63,21126.576,1581638399999,216279334.56175,43165,10329.122,105751020.59696,0
1581638400000,10240.02,10299.00,10171.00,10186.62,28185.452,1581659999999,288738242.80955,57329,13886.596,142283875.78878,0
1581660000000,10186.65,10310.00,10123.37,10279.90,39925.191,1581681599999,407993908.50900,79896,20686.359,211468157.20547,0
1581681600000,10280.15,10370.09,10233.00,10293.00,36415.312,1581703199999,374490937.77609,72542,18414.542,189386558.76783,0
1581703200000,10293.00,10390.00,10293.00,10356.82,26449.791,1581724799999,273778876.94337,57343,14109.131,146050322.78589,0
1581724800000,10356.27,10389.75,10233.20,10240.42,26071.847,1581746399999,268402178.70345,54543,12099.087,124585154.74973,0
1581746400000,10240.62,10288.14,10203.98,10247.03,22276.964,1581767999999,228354580.65644,44078,10846.513,111193124.89970,0
1581768000000,10247.02,10271.00,9752.30,9858.47,80289.859,1581789599999,803966296.22404,171951,35875.631,359144556.95117,0
1581789600000,9858.47,9947.09,9821.11,9914.99,23507.457,1581811199999,232877932.78824,55362,11594.633,114868515.19454,0
1581811200000,9914.31,10060.45,9865.00,9964.19,25972.822,1581832799999,259289757.74760,52785,12640.326,126209201.85030,0
1581832800000,9964.45,10030.02,9910.00,9934.08,20661.990,1581854399999,206104548.98853,45561,10227.923,102038821.17047,0
1581854400000,9933.24,9987.00,9626.64,9768.00,61238.095,1581875999999,601951367.93532,146281,29503.799,290180202.69968,0
1581876000000,9767.99,10004.38,9725.00,9921.86,33675.049,1581897599999,331561299.88717,76822,17270.513,170105683.23570,0
1581897600000,9921.87,9971.00,9720.23,9774.00,38611.103,1581919199999,379527987.30247,80320,18843.033,185184146.79835,0
1581919200000,9773.26,9844.75,9585.00,9634.54,47493.448,1581940799999,462051064.27103,106613,22508.426,219041807.33318,0
